Hero_Role,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Sand King_softsup,-1.0061907e-24,1.3100911e-24,1.2996374e-24,-1.0578587e-24,-2.086171e-24,-3.42889e-24,4.887901e-25,2.2345296e-24,4.93235e-25,-2.5077123e-24,2.4368986e-24,3.2273004e-24,-1.3721979e-25,-1.868028e-24,-5.6103164e-24,3.8353402e-25
Sand King_hardsup,1.8944293e-24,1.1377005e-24,-2.5069686e-25,-3.5722765e-24,-1.9008665e-24,-2.7890015e-25,5.6272377e-25,-3.5214593e-24,8.11103e-25,-2.401579e-25,-2.5935124e-24,9.705109e-25,-2.7237856e-24,-3.2261403e-24,5.855213e-25,-8.904772e-24
Sand King_carry,-4.136532e-24,7.598837e-24,3.4033495e-24,-1.9488998e-25,-1.8773687e-24,-2.815847e-24,1.677649e-24,-2.2037569e-27,7.886193e-25,-1.9435653e-24,-3.0115988e-25,9.076094e-25,-3.2684716e-24,4.020263e-24,2.5459744e-24,-5.399469e-25
Storm Spirit_mid,0.002807342,0.005191639,-0.010061025,-0.0039033566,-0.009103938,-0.00598331,-0.0036779353,0.012398565,0.006594032,0.0050553903,-0.003978888,-0.003266011,0.0025739726,-0.007768006,-0.009260092,0.005279857
Storm Spirit_offlane,-3.12275e-24,-5.5388113e-25,2.3113169e-24,6.3293012e-24,3.9236876e-25,-1.0470714e-24,-9.864968e-25,5.142747e-25,1.0954275e-25,3.5624337e-25,-2.3057229e-24,1.1504953e-24,7.676504e-25,-1.8570326e-24,5.4472258e-24,4.110377e-26
Storm Spirit_softsup,-1.5761263e-24,-6.494987e-24,4.252066e-24,1.1591269e-24,-5.6489584e-24,-8.0593383e-25,-8.0593097e-25,1.9462333e-26,-3.7373656e-25,-6.3273855e-24,-8.698283e-25,2.652946e-24,2.069487e-24,4.6680544e-24,6.5241016e-25,2.1987873e-24
Storm Spirit_hardsup,-8.1541544e-25,-3.2624599e-24,5.7491986e-24,-1.6292629e-24,-1.1675017e-24,1.6356821e-24,2.5841932e-24,4.4583354e-24,4.3376187e-25,4.5741472e-24,5.07415e-25,8.87292e-25,-3.2385225e-24,-4.4059542e-24,2.8059993e-24,-4.2749985e-25
Storm Spirit_carry,2.4649744e-24,1.3050559e-24,6.151285e-25,-5.6042533e-24,3.460572e-25,2.7611744e-25,3.2823378e-25,-1.3885948e-25,7.199549e-25,-3.7819279e-25,2.354235e-25,1.9227226e-24,-7.2360387e-26,2.9154564e-25,9.495381e-25,-2.1181164e-24
Sven_mid,-6.89671e-25,-3.3506678e-24,1.3843429e-25,-1.7432268e-24,-1.4792747e-25,-4.0652036e-25,-3.4270642e-25,-4.8133808e-24,-3.0133997e-24,-2.6129061e-24,-1.0042372e-24,-2.1741912e-24,-1.051669e-24,2.0445654e-24,2.9435777e-24,1.5793788e-24
Sven_offlane,-7.212008e-25,-3.2328575e-24,2.7325377e-24,2.01061e-24,-9.654883e-25,-6.7344735e-26,-1.4119752e-25,3.1437488e-26,5.2590663e-24,3.029846e-25,1.2594438e-24,8.172307e-25,-2.8350182e-26,3.501229e-24,-2.8175893e-26,3.2238988e-25
Sven_softsup,4.7934364e-25,-2.8163837e-24,3.5027278e-24,3.1946022e-25,3.8309653e-24,3.46919e-24,-3.6524926e-24,-6.2845077e-25,-3.1665715e-24,1.2190928e-24,-1.7225322e-24,-1.2394953e-24,6.908414e-25,4.5310025e-24,-9.339044e-24,-3.1735502e-25
Sven_hardsup,-5.760282e-25,-2.3430056e-25,-2.6626357e-24,2.7475071e-25,4.839522e-24,2.4820315e-25,-2.7741789e-24,2.0136429e-25,-1.6741632e-24,-2.5547556e-24,-7.5975036e-25,3.0995563e-25,1.7072958e-24,1.5562802e-24,-5.7871497e-25,2.7767371e-24
Sven_carry,0.00020653896,0.008248276,0.005506466,-0.0029048454,0.0032304726,-0.0002670671,-0.0009902332,-0.0018089819,-0.0058729616,-0.007719343,0.0059766825,0.0020268597,0.0012705625,0.0057949605,-0.009956845,-0.006783865
Tiny_mid,0.0017039014,-0.0013600532,-0.0049375477,-0.00026287342,-0.0019696874,-0.0013531467,-0.0011379072,-0.00079916895,0.00069546653,0.005430787,0.0033696173,0.0017347854,-0.0011466284,-0.0002682534,-0.00026512763,0.004565806
Tiny_offlane,-7.3513543e-25,2.4127856e-25,6.1695076e-24,1.8750735e-24,6.025205e-24,4.7789237e-24,-4.6166033e-25,-1.3420218e-24,3.9019033e-24,-7.0819746e-25,1.3983591e-24,5.416003e-24,-3.7636011e-25,-5.6295767e-25,-9.028803e-25,-9.859314e-25
